RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
1864;2683;541;143;6;3.6
4132;2412;625;117;7;4
3861;3980;626;153;7;4
3775;4095;619;161;7;4
3317;3930;610;160;7;4
3211;3425;603;147;7;3.5
2908;3105;581;154;7;4
2989;3297;563;152;6.5;3
2084;3167;557;144;6.5;3
3051;2785;585;133;7;3.5
3375;3426;585;146;7;3
3349;3211;660;144;7;3.5
2830;3571;580;156;7;3.5
2083;2511;558;134;6.5;3.5
3432.9;1671;620;113;6;3.5
2964.2;2669.7;612;127;6.5;3.5
2892.3;2534.4;538;127;6.5;3
2669.2;2388;557;122;6;3
1664.5;1681.2;522;112;6;3
2339.1;2046.9;541;118;5.5;3
2090.8;2031.6;537;117;6;3
2686.9;2465.3;546;127;6;3
2794.5;2190.1;559;122;6.5;3
2711.5;2332.5;548;118;6;3
2681.1;2603.2;558;138;6.5;3
2931.7;2849.2;552;136;7;3.5
2823.4;3116.2;540;134;7;3
2116.2;2332.2;538;127;6;3
3339;1756;564;96;7;4
3233;2338;566;120;7;3.5
3141;2563;590;126;6;3.8
2930;2388;548;124;6.5;3.5
2597;2534;552;159;7;4
2663;2386;565;137;6.5;3.5
2542;2257;556;123;7;3.6
2443;2621;538;142;6;3.4
2342;2725;531;151;6;4
2596;2771;542;148;7;3.5
2705;2721;545;148;6;3.5
2970;3288;544;142;6;3.9
2615;3156;552;145;6.5;3.5
2218;2507;539;138;7;4
1823;2003;538;128;6;3.8
3746;2190;624;126;7;3.6
3435;3089;627;149;7.2;3.8
3042;3305;618;158;6.5;3.6
3836;2951;622;149;7;3.4
1948;2993;626;158;6.8;4.2
3516;3456;629;158;6.5;3.9
3109;3312;611;162;7;3.8
3652;3590;603;170;6.5;4.1
3520;2795;598;118;8;4
2146;3070;597;163;6;3.8
3309;2206;561;110;8;3.5
2328;2618;557;191;6;3.3
1435;2158;486;137;5.5;3
3603.3;2242.7;606;130;7;4
2995.5;3272.2;600;174;6;3.5
2785.8;3149.4;580;160;7;3.5
2760.6;3085.5;570;162;6.5;3.5
2350.6;2676.2;575;151;6.4;3
2768.8;2757.9;550;147;6.8;3.5
2008.8;2938.4;555;146;6;3.5
2661.6;3096.5;562;155;6.5;3
2521.2;2933.4;570;143;6;3
2740.8;3168.4;580;159;6;3.5
2563.3;2832.5;572;155;6.5;3
2501;2708.4;568;155;6.2;3
2180.6;2751.5;560;192;6.2;3.5
1222.6;2040.1;340;142;5;3
3413;2295;598;128;6.8;3.8
3384;2711;603;140;7;3.6
2575;2220;596;147;6;3.3
2906;2094;605;130;6.5;3.1
2747;2140;593;127;6;3.5
2852;2071;578;157;6.3;3.8
2637;2926;568;160;5.3;3.1
2261;2643;493;157;5.4;3.3
2013;2586;545;160;7;3.6
2217;2342;581;140;5.3;3.1
2154;1922;575;138;7;3.2
2430;2331;521;150;5.4;3.2
1901;2158;527;143;6.1;3.3
3351.6;1665.3;584;105;7;4.1
3422.8;3052.6;593;154;6.8;4
3316.5;3162.8;610;170;6;3.9
3131.6;3331;603;169;6;4.2
2816.3;2968.9;609;166;6;4
2614.8;3204.8;571;158;6;4
2293;2646.7;502;157;6.8;3.8
2271.6;2567.8;496;158;6;4
1996.3;2569.2;491;161.9;6;3.8
2315.4;2087.6;519;117;6;3.9
2488.6;2816.5;542;118;6;3.8
2335;2656.9;518;160;6;4
2318.6;2916.5;554;161.4;6;3.8
1416.5;2566.6;518;156;6;3.6
3790;4836;610;106;7;3.8
3591;3002;620;148;7;4
3708;3092;594;143;7.1;4
3517;2878;610;140;6.3;3.8
2450;2469;602;141;7.3;4
2955;2887;573;148;7.1;4.1
2980;2763;594;143;6.5;3.6
3036;2893;598;144;6.8;3.8
3057;3057;571;150;7.1;3.6
2812;2669;599;143;6.2;3.5
2477;3137;583;153;7.1;3.6
2941;2818;571;150;7.1;3.6
2204;3026;560;153;7.3;3.8
3140.6;1900.6;598;130;6;4
2859.8;2839.9;573;15;6;4
2630;2581.6;553;149;6;3.8
2601;2016.5;549;146;6;3.9
2816.5;1786.5;564;113.6;6;3.8
2881.6;2018.6;563;128;6;3.8
2675;2192.6;550;132;6;3.9
2614.8;2534.6;540;140;6;3.8
2615.6;2716.5;538.2;153.6;6;3.8
2661.3;2486.3;559;140;6;3.7
2451.6;2615.4;556;156;6;3.6
2301.6;2780;542;150;6;4
1781.6;2186;500;145;6;3.8
1426.5;1763.5;460;148;6;3.8
3178;1694;573;107;7;3.1
3071;2716;565;140;6.5;3.5
2860;2861;550;152;6.5;4
2842;2415;575;140;6.8;3.6
2404;1835;537;120;7;3.5
2630;2449;546;144;6.6;4.1
2672;2519;527;138;6.1;3.5
2678;2724;535;142;6.3;3.2
2411;2726;569;143;7.1;3.5
2924;2832;566;146;6.2;3.5
2885;2986;573;157;7.1;4
2879;3629;573;175;6.5;4
2481;3710;530;150;6.4;3.5
2127;2720;535;145;6.2;3.3
3306.6;1708.6;553;101;7;3.8
3041.7;2881.6;544;152;7;3.8
2816.9;2864.1;555;148;7;3.7
2716.5;3062.5;534;142;7;3.8
2738.4;2816.5;558;130;7;3.9
2871.5;2571.6;531;133;7;3.8
2806.7;2676.5;561;140;6;3.5
2816.5;2660.1;556;146;6;3.6
2448.6;2671.8;597;152;6;3.8
2146.8;2601.6;567;150;6;3.6
1831.6;2231.6;525;168;6;3.6
1927.1;1981.6;532;130;5;3.8
2215.6;2261.8;527;149;5;3.7
1871.6;2369.9;492;139;5;3.4
3981.6;1732.9;650;108;7;4.1
3761.5;3214.6;628;128;7;4
3628.6;3669;623;152;7;4
3461.6;3468.5;610;161;7;4.2
3266.5;3098.1;612;157.2;7;4
3381.6;2837.7;620;152;7;4
3449.6;3435.9;620;158;7;4.1
3684.1;3641.5;623;162;7;4.1
3628.4;3838.6;630;154;7;4.2
3609.6;4119.6;634;172;7;4.3
3755.1;4461.6;624;177.6;7;4
3506.6;4034.8;608;168;7;4.4
2417.3;1603.3;469;86;6.9;3.8
2378.4;2253.4;464;112;6.6;3.8
2227.4;2143.6;472;105;7;3.7
2413.5;2204.3;483;127;6.8;3.6
2446.2;2234.6;462;131;6.9;3.8
2403.2;2687.5;462;122;6.9;3.7
2246.9;2542.1;478;118;6.8;3.6
2341.7;2719.6;480;120;6.6;3.8
1906.3;2880.2;482;129;7;3.8
1728.8;2467.1;462;123;6.7;3.8
1839.7;2682.3;461;126;6.8;3.6
1861.3;2539.6;431;132;6.8;3.6
1650.3;2384.3;448;128;7;3.5
2835;1832;532;93.5;6.4;3.7
2640;2124;535;116;6.5;3.5
2489;2376;495;116;6.5;3
2322;2254;540;115;6;3.5
2258;2762;439;123;6;3.6
2239;2360;532;122;6;3
1923;2302;505;124;6;3
1890;2288;480;130;5.5;3
1682;2554;451;142;5;3
1751;2078;477;121;5.5;3
